[Wed Apr 29 09:41:47.039327 2015] [:error] [pid 552:tid 900] [client 127.0.0.1:62120] PHP Parse error:  syntax error, unexpected '=' in C:\\Server\\data\\htdocs\\basic\\views\\site\\hello.php on line 5
[Wed Apr 29 09:41:48.021327 2015] [:error] [pid 552:tid 900] [client 127.0.0.1:62121] PHP Parse error:  syntax error, unexpected '=' in C:\\Server\\data\\htdocs\\basic\\views\\site\\hello.php on line 5
[Wed Apr 29 09:41:48.253327 2015] [:error] [pid 552:tid 900] [client 127.0.0.1:62122] PHP Parse error:  syntax error, unexpected '=' in C:\\Server\\data\\htdocs\\basic\\views\\site\\hello.php on line 5
[Wed Apr 29 09:41:48.480327 2015] [:error] [pid 552:tid 900] [client 127.0.0.1:62123] PHP Parse error:  syntax error, unexpected '=' in C:\\Server\\data\\htdocs\\basic\\views\\site\\hello.php on line 5
[Wed Apr 29 09:43:15.497327 2015] [:error] [pid 552:tid 900] [client 127.0.0.1:62187] PHP Parse error:  syntax error, unexpected '=' in C:\\Server\\data\\htdocs\\basic\\views\\site\\hello.php on line 6
[Wed Apr 29 09:43:24.150327 2015] [:error] [pid 552:tid 900] [client 127.0.0.1:62188] PHP Parse error:  syntax error, unexpected '=' in C:\\Server\\data\\htdocs\\basic\\views\\site\\hello.php on line 6
[Wed Apr 29 09:43:25.352327 2015] [:error] [pid 552:tid 900] [client 127.0.0.1:62189] PHP Parse error:  syntax error, unexpected '=' in C:\\Server\\data\\htdocs\\basic\\views\\site\\hello.php on line 6
[Wed Apr 29 09:44:56.031327 2015] [:error] [pid 552:tid 932] [client 127.0.0.1:62243] PHP Parse error:  syntax error, unexpected '=' in C:\\Server\\data\\htdocs\\basic\\views\\site\\hello.php on line 6
[Wed Apr 29 10:23:00.102238 2015] [:error] [pid 552:tid 900] [client 127.0.0.1:64053] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:23:01.789406 2015] [:error] [pid 552:tid 900] [client 127.0.0.1:64054] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:23:02.175445 2015] [:error] [pid 552:tid 900] [client 127.0.0.1:64055] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:23:42.030430 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64084] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110, referer: http://armgid.localdomain/index.php?r=site%2Fabout
[Wed Apr 29 10:23:42.769504 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64085] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110, referer: http://armgid.localdomain/index.php?r=site%2Findex
[Wed Apr 29 10:23:43.433570 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64086] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110, referer: http://armgid.localdomain/index.php?r=site%2Fcontact
[Wed Apr 29 10:23:46.537881 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64089] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:24:23.698597 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64134] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:24:24.651692 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64135] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:24:24.892716 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64136] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:24:25.128740 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64137] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:24:25.398767 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64138] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:24:26.479875 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64140] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:24:26.932920 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64141] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:27:16.958921 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64283] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:27:17.540979 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64284] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:27:17.791004 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64286] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:27:18.007026 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64287] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:27:18.207046 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64288] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:27:18.435068 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64289] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:27:18.659091 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64290] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:27:24.741699 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64294] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:27:24.864711 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64295] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:27:29.614186 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64298] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:27:31.311356 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64300] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:27:31.986423 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64302] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:27:41.524377 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64307] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:27:42.291454 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64309] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:27:42.494474 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64310] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:30:01.421365 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64406] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:30:02.074431 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64408] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:30:02.304454 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64409] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:30:02.495473 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64410] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
